City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
10,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
13,Campoverde,PE,87.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
19,Meulaboh,ID,76.93,light rain,4.1363,96.1285,Kost Pria
22,Benjamin Constant,BR,87.93,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
31,Butaritari,KI,82.22,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Camargo,MX,84.65,few clouds,27.6667,-105.1667,Hotel Santa Fe
34,Bengkulu,ID,75.29,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
37,Port Charlotte,US,82.18,overcast clouds,26.9762,-82.0906,Knights Inn Port Charlotte
38,Atuona,PF,77.0,few clouds,-9.8,-139.0333,Villa Enata
42,Winfield,US,84.29,clear sky,37.2398,-96.9956,Blue Way Inn & Suites Winfield
48,El Roble,CO,83.64,overcast clouds,9.1019,-75.1951,Los Frailes
51,Sinnamary,GF,80.31,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
59,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Kalaikunda,IN,79.32,overcast clouds,22.35,87.25,Hotel Capsicum
66,Chabahar,IR,80.31,clear sky,25.2919,60.643,هتل گدروشیا
67,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
70,Pasighat,IN,75.29,clear sky,28.0667,95.3333,Siang Guest House
74,Garowe,SO,77.61,broken clouds,8.4054,48.4845,Curubo Hotel
76,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,San Ramon,US,80.29,clear sky,37.7799,-121.978,San Ramon Marriott
85,Banda Aceh,ID,78.48,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
86,Portland,US,86.56,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
92,Catuday,PH,78.1,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
99,Puerto Carreno,CO,87.78,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
102,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
103,Morehead,US,77.86,clear sky,37.2711,-87.1764,CCI Express Inn
104,Kokoda,PG,80.24,scattered clouds,-8.8785,147.7407,Daito Guest House
106,Winneba,GH,75.25,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
108,Teacapan,MX,85.35,overcast clouds,22.55,-105.75,Hotel los Mangos
109,Jennings,US,77.14,clear sky,38.7192,-90.2604,First Western Inn
110,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
112,Lorengau,PG,82.22,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
122,Kavaratti,IN,81.1,overcast clouds,10.5669,72.642,Green leaf
124,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
133,Itoman,JP,78.82,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
135,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
136,Kavieng,PG,82.54,light rain,-2.5744,150.7967,Nusa Island Retreat
140,Lake City,US,83.91,clear sky,30.1897,-82.6393,Ramada Limited Lake City
143,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Nabire,ID,76.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
147,Udon Thani,TH,75.11,broken clouds,17.3333,102.8333,P.T.K. Apartment
148,Houston,US,88.0,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
155,Kutum,SD,80.92,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
157,Atar,MR,83.37,clear sky,20.5169,-13.0499,Oumou Elghoura
159,San Jose De Guanipa,VE,81.79,overcast clouds,8.8872,-64.1651,Hotel Kariña Guanipa
163,Robertson,US,76.69,haze,36.5167,-86.8667,Hampton Inn Springfield
164,Matay,EG,82.83,clear sky,28.419,30.7792,Nag Aespen
166,Haapiti,PF,80.33,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
167,Kroya,ID,76.03,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
175,Soyo,AO,75.38,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
187,Sibolga,ID,75.24,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
200,Cockburn Town,TC,82.87,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
201,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
210,Kulhudhuffushi,MV,79.47,overcast clouds,6.6221,73.07,Haajy Guest House 1
211,San Policarpo,PH,81.81,broken clouds,12.1791,125.5072,Agapita M. Nicart
213,Kirakira,SB,83.55,scattered clouds,-10.4544,161.9205,SanBiz Lodge
