City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,52.81,80,64,11.07,broken clouds
1,New Norfolk,AU,-42.7826,147.0587,47.71,75,27,3.85,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,73.49,72,20,11.63,few clouds
3,Albany,US,42.6001,-73.9662,64.81,66,100,2.24,overcast clouds
4,Kaitangata,NZ,-46.2817,169.8464,48.92,68,18,5.59,few clouds
5,Sorland,NO,67.667,12.6934,51.66,73,100,12.41,overcast clouds
6,Port Blair,IN,11.6667,92.75,78.84,89,75,2.3,mist
7,Naryan-Mar,RU,67.6713,53.087,37.35,96,99,8.95,overcast clouds
8,Tiksi,RU,71.6872,128.8694,18.77,89,100,12.37,overcast clouds
9,Hobart,AU,-42.8794,147.3294,48.06,83,40,8.05,scattered clouds
10,Isangel,VU,-19.55,169.2667,80.71,89,75,2.3,broken clouds
11,Port Alfred,ZA,-33.5906,26.891,61.52,78,38,4.27,scattered clouds
12,Westport,US,41.1415,-73.3579,61.75,88,100,13.8,overcast clouds
13,Campoverde,PE,-8.4753,-74.8058,87.49,59,96,3.0,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,61.92,75,0,10.36,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,36.52,99,100,3.11,light rain
16,Airai,TL,-8.9266,125.4092,61.97,89,72,0.81,broken clouds
17,Adrar,MR,20.5022,-10.0711,84.13,23,0,8.08,clear sky
18,Aksarka,RU,66.5606,67.7975,33.55,72,100,14.54,overcast clouds
19,Meulaboh,ID,4.1363,96.1285,76.93,86,100,7.87,light rain
20,Souillac,MU,-20.5167,57.5167,71.98,56,75,10.36,broken clouds
21,Necochea,AR,-38.5473,-58.7368,60.58,63,18,4.07,few clouds
22,Benjamin Constant,BR,-4.3831,-70.0311,87.93,62,40,4.61,scattered clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,14.97,overcast clouds
24,Ayan,RU,56.45,138.1667,37.17,51,100,3.49,overcast clouds
25,Mataura,NZ,-46.1927,168.8643,47.48,66,19,3.04,few clouds
26,Busselton,AU,-33.65,115.3333,54.07,83,79,15.35,broken clouds
27,Bredasdorp,ZA,-34.5322,20.0403,52.21,90,83,3.94,broken clouds
28,Ketchikan,US,55.3422,-131.6461,55.87,94,100,11.5,heavy intensity rain
29,Mvuma,ZW,-19.2792,30.5283,62.89,35,0,5.48,clear sky
30,Ushuaia,AR,-54.8,-68.3,44.26,57,20,28.77,few clouds
31,Butaritari,KI,3.0707,172.7902,82.22,73,93,15.3,overcast clouds
32,Coquimbo,CL,-29.9533,-71.3436,58.73,77,20,11.5,few clouds
33,Camargo,MX,27.6667,-105.1667,84.65,23,18,10.63,few clouds
34,Bengkulu,ID,-3.8004,102.2655,75.29,89,100,2.35,light rain
35,Staryy Nadym,RU,65.6118,72.6842,29.64,68,98,13.82,overcast clouds
36,Iqaluit,CA,63.7506,-68.5145,31.73,69,75,25.32,broken clouds
37,Port Charlotte,US,26.9762,-82.0906,82.18,56,99,4.0,overcast clouds
38,Atuona,PF,-9.8,-139.0333,77.0,69,11,17.36,few clouds
39,Shu,KZ,43.5983,73.7614,41.65,23,0,6.17,clear sky
40,Lebu,CL,-37.6167,-73.65,54.39,74,0,9.51,clear sky
41,Kodiak,US,57.79,-152.4072,47.71,87,100,5.75,mist
42,Winfield,US,37.2398,-96.9956,84.29,18,0,9.22,clear sky
43,Springbok,ZA,-29.6643,17.8865,58.8,25,80,2.55,broken clouds
44,Bluff,NZ,-46.6,168.3333,47.8,69,72,5.46,broken clouds
45,Cabo San Lucas,MX,22.8909,-109.9124,92.61,67,14,5.93,few clouds
46,Carnarvon,AU,-24.8667,113.6333,65.1,77,0,14.09,clear sky
47,Chokurdakh,RU,70.6333,147.9167,22.69,92,100,5.1,overcast clouds
48,El Roble,CO,9.1019,-75.1951,83.64,79,90,1.16,overcast clouds
49,Karratha,AU,-20.7377,116.8463,71.51,70,0,7.96,clear sky
50,Plouzane,FR,48.3833,-4.6167,62.92,97,100,14.97,overcast clouds
